Region;Nazwa;UE_do_2004;UE_od_2004;R_2004;R_2005;R_2006;R_2007;R_2008;R_2009;R_2010;R_2011;R_2012;R_2013;R_2014;R_2015;R_2016;R_2017;R_2018;R_2019;R_2020;R_2021;;;;
HU31;Észak-Magyarország;0;1;8500;9100;9300;9400;9800;9200;9800;10200;10100;10900;11500;12900;12900;14000;14900;15100;15100;16900;;;;
HU32;Észak-Alföld;0;1;8900;9100;9400;9400;10000;9900;10400;11200;11100;11300;11800;12300;12300;13000;13900;14700;14800;15900;;;;
HU33;Dél-Alföld;0;1;9400;9700;10000;10100;10900;10500;10900;11600;11800;12500;13100;14000;13900;14500;15800;16500;16600;17600;;;;
MT00;Malta;0;1;17600;18200;18500;19700;20500;20100;21700;21500;22300;23300;24500;26900;27500;29800;30800;32400;29300;33000;;;;
NL11;Groningen;1;0;31400;34000;37400;38600;43300;37700;38500;40000;41800;43400;39700;37900;35100;36200;36800;36000;33700;37500;;;;
NL12;Friesland (NL);1;0;20200;21600;22900;24400;25400;23800;24100;25100;25100;25200;25100;25000;24900;25900;27000;27700;27900;29800;;;;
NL13;Drenthe;1;0;21300;22500;24100;25700;27100;24500;24400;25000;25400;25800;25300;25100;24800;25700;26900;27000;26800;28400;;;;
NL21;Overijssel;1;0;23400;24700;25900;27800;29300;27900;27900;28800;28300;28800;28800;29500;30100;31400;32900;33400;33400;35300;;;;
NL22;Gelderland;1;0;24300;25300;27100;28800;29800;28300;28400;29400;29100;29500;29500;30100;30400;31900;33000;33500;33600;35500;;;;
NL23;Flevoland;1;0;22500;23600;25700;27700;27700;25300;26100;26200;26200;26100;26100;26700;27200;28300;29200;29300;29300;30900;;;;
NL31;Utrecht;1;0;37100;38600;40300;43000;44000;43000;42900;43000;43100;43900;43400;44200;44000;46400;48300;49700;50000;52600;;;;
NL32;Noord-Holland;1;0;37500;39200;41000;43400;44600;41700;42700;43200;43300;44700;45300;46900;47700;49600;51900;53100;50500;54400;;;;
NL33;Zuid-Holland;1;0;30600;32600;34400;36900;38100;35300;35400;35300;35800;36100;35400;36400;36400;37300;38300;38400;38200;41200;;;;
NL34;Zeeland;1;0;22200;22900;23800;26400;27800;25300;26800;27600;27500;27800;27800;28800;28900;29800;31400;31500;31900;35400;;;;
NL41;Noord-Brabant;1;0;28200;29800;31500;33300;34400;32300;33000;34100;34300;34700;34800;36200;36500;38500;39800;40200;40400;43200;;;;
